"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"145","E15","1700012A03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"146","E15","1700012B07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"147","E15","1700012B09Rik",-2.74418798239907,0.242393373091107,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"148","E15","1700012C14Rik",0.0579909880833935,0.947024264727295,1,"pseudobulk","edgeR","LRT","NO",NA
"149","E15","1700012E03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"150","E15","1700012I11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"151","E15","1700012J15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"152","E15","1700012P22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"153","E15","1700013D24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"154","E15","1700013F07Rik",-3.9314836232512,0.0652955226319528,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"155","E15","1700013G24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"156","E15","1700013H16Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"157","E15","1700013M08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"158","E15","1700013N06Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"159","E15","1700014B07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"160","E15","1700014D04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"161","E15","1700014F14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"162","E15","1700014L14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"163","E15","1700015C15Rik",0.987528897403623,0.568378476731775,1,"pseudobulk","edgeR","LRT","NO",NA
"164","E15","1700015F17Rik",2.96213183088735,0.124171477019252,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"165","E15","1700015G11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"166","E15","1700015H07Rik",-2.74418798239907,0.242393373091107,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"167","E15","1700015I17Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"168","E15","1700015O11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"169","E15","1700016B01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"170","E15","1700016C15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
