p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.97639834580266e-158,2.38870247604827,0.378,0.14,2.94192479385336e-153,ITC_Foxp2.Cux2,Olfm3
5.00360481950155e-146,3.58881907441429,0.175,0.037,1.63988144354344e-141,ITC_Foxp2.Cux2,Marchf3
2.29320853759637e-135,2.77390027253432,0.251,0.074,7.51576166111836e-131,ITC_Foxp2.Cux2,Lhfp
4.0513772546244e-135,2.39127844496242,0.382,0.16,1.3277983814306e-130,ITC_Foxp2.Cux2,Pex5l
2.9866984133732e-131,2.29057502541757,0.329,0.124,9.78860537998931e-127,ITC_Foxp2.Cux2,Foxp4
2.77755740994653e-92,2.57300964001019,0.18,0.054,9.10316665535875e-88,ITC_Foxp2.Cux2,Vwc2l
1.62994304736707e-86,2.74533335559677,0.15,0.041,5.34197534344084e-82,ITC_Foxp2.Cux2,Casz1
6.44275271632051e-72,2.50122471027085,0.188,0.067,2.11154777524689e-67,ITC_Foxp2.Cux2,Fbxl7
6.73476434270428e-63,2.59253431887638,0.112,0.03,2.2072516656779e-58,ITC_Foxp2.Cux2,Sema5b
5.81805946747647e-61,2.41664956291579,0.11,0.03,1.90681080987074e-56,ITC_Foxp2.Cux2,Iqcj
9.0776684142665e-35,2.2649461554419,0.144,0.064,2.9751150460917e-30,ITC_Foxp2.Cux2,Adra2a
0,2.65165469031501,0.666,0.18,0,VP/MEA_Foxp4.Sfrp2,Foxp2
0,1.79212117378231,0.918,0.44,0,VP/MEA_Foxp4.Sfrp2,Tshz1
0,1.80217999493741,0.891,0.5,0,VP/MEA_Foxp4.Sfrp2,Pbx3
1.61798266478616e-257,1.41447772696982,0.813,0.624,5.30277638557018e-253,VP/MEA_Foxp4.Sfrp2,Mpped2
4.10492836051454e-176,1.39214410294958,0.587,0.326,1.34534922087503e-171,VP/MEA_Foxp4.Sfrp2,Erbb4
2.4258752147896e-143,1.49489441045312,0.688,0.558,7.95056342895142e-139,VP/MEA_Foxp4.Sfrp2,Ptn
3.19899220077714e-117,1.37007746250177,0.452,0.258,1.0484377038827e-112,VP/MEA_Foxp4.Sfrp2,Sdk2
1.33521706066935e-96,1.34391478952567,0.451,0.281,4.37604039463773e-92,VP/MEA_Foxp4.Sfrp2,Syt6
6.4533973857944e-76,1.849105624544,0.208,0.091,2.11503645922026e-71,VP/MEA_Foxp4.Sfrp2,Spsb4
1.06494223274412e-75,1.73850654042284,0.202,0.086,3.49024167359559e-71,VP/MEA_Foxp4.Sfrp2,Zadh2
3.08580489934934e-68,1.33809600401516,0.306,0.169,1.01134169771275e-63,VP/MEA_Foxp4.Sfrp2,Prokr2
3.90928372997548e-67,2.36391556653684,0.238,0.125,1.28122864966216e-62,VP/MEA_Foxp4.Sfrp2,Foxp4
